k size add contains remove
2 100000 762 475 474
5 100000 509 438 443
8 100000 504 451 451
11 100000 513 462 462
14 100000 509 468 471
17 100000 523 472 474
20 100000 518 468 474
23 100000 515 473 472
26 100000 517 479 475
29 100000 521 474 475
32 100000 518 476 474
35 100000 517 471 482
38 100000 516 474 476
41 100000 518 478 479
44 100000 521 478 474
47 100000 520 481 481
50 100000 523 478 479
53 100000 519 477 477
56 100000 519 480 481
59 100000 522 478 479
62 100000 519 478 481
65 100000 519 479 482
68 100000 524 479 484
71 100000 525 477 481
74 100000 527 480 479
77 100000 524 481 475
80 100000 521 482 483
83 100000 519 481 486
86 100000 521 480 483
89 100000 519 476 477
92 100000 516 480 478
95 100000 521 484 481
98 100000 519 478 476
101 100000 520 482 480
104 100000 513 480 480
107 100000 520 477 480
110 100000 519 482 478
113 100000 514 476 476
116 100000 521 483 482
119 100000 517 476 484
122 100000 516 483 480
125 100000 511 479 479
128 100000 519 480 477
131 100000 516 480 479
134 100000 514 480 478
137 100000 517 480 481
140 100000 513 484 474
143 100000 516 483 480
146 100000 555 485 484
149 100000 527 480 478
152 100000 530 487 483
155 100000 529 480 474
158 100000 527 478 478
161 100000 528 482 484
164 100000 527 477 478
167 100000 533 482 484
170 100000 524 479 479
173 100000 528 475 477
176 100000 529 476 476
179 100000 528 478 478
182 100000 528 476 479
185 100000 530 475 477
188 100000 525 477 480
191 100000 530 481 481
194 100000 532 479 488
197 100000 530 475 481
200 100000 539 484 487
203 100000 529 478 480
206 100000 530 479 481
209 100000 536 482 482
212 100000 528 480 479
215 100000 533 480 478
218 100000 527 480 481
221 100000 530 479 478
224 100000 531 481 481
227 100000 533 480 482
230 100000 528 476 478
233 100000 527 482 487
236 100000 528 478 479
239 100000 531 478 477
242 100000 533 481 480
245 100000 530 480 480
248 100000 527 480 480
251 100000 526 478 481
254 100000 527 480 479
257 100000 527 477 479
260 100000 526 485 479
263 100000 527 476 474
266 100000 531 484 485
269 100000 528 476 483
272 100000 533 478 476
275 100000 527 478 476
278 100000 527 483 475
281 100000 531 479 477
284 100000 527 479 480
287 100000 537 484 487
290 100000 526 481 478
293 100000 526 482 478
296 100000 533 476 480
299 100000 528 479 478
302 100000 532 476 482
305 100000 527 487 483
308 100000 527 477 482
311 100000 529 478 475
314 100000 530 477 477
317 100000 528 476 477
320 100000 529 479 481
323 100000 528 479 477
326 100000 528 477 481
329 100000 526 476 475
332 100000 533 488 481
335 100000 528 479 481
338 100000 526 480 482
341 100000 532 483 479
344 100000 529 474 477
347 100000 526 477 481
350 100000 523 478 480
353 100000 529 485 483
356 100000 525 479 478
359 100000 529 483 484
362 100000 526 476 476
365 100000 526 481 482
368 100000 523 476 480
371 100000 528 481 483
374 100000 527 479 480
377 100000 524 479 479
380 100000 530 480 482
383 100000 528 477 477
386 100000 525 475 480
389 100000 530 487 480
392 100000 526 487 484
395 100000 528 482 485
398 100000 529 480 479
401 100000 535 479 481
404 100000 528 482 485
407 100000 527 486 477
410 100000 527 479 484
413 100000 527 481 485
416 100000 523 479 485
419 100000 525 483 484
422 100000 535 485 486
425 100000 527 479 481
428 100000 540 492 485
431 100000 528 483 478
434 100000 528 484 486
437 100000 531 481 482
440 100000 532 482 488
443 100000 530 485 483
446 100000 522 477 479
449 100000 526 481 488
452 100000 528 478 479
455 100000 524 479 488
458 100000 528 477 485
461 100000 528 485 484
464 100000 533 488 485
467 100000 528 489 483
470 100000 530 482 479
473 100000 529 483 485
476 100000 526 478 480
479 100000 526 475 481
482 100000 529 481 484
485 100000 533 479 489
488 100000 530 486 484
491 100000 530 482 481
494 100000 524 483 479
497 100000 523 480 478
500 100000 525 476 478

