k size add contains remove
20 10000 31 18 13
20 20000 72 39 38
20 30000 125 72 70
20 40000 193 115 112
20 50000 276 165 158
20 60000 368 216 216
20 70000 454 280 275
20 80000 549 344 336
20 90000 646 404 399
20 100000 753 470 462
20 110000 858 550 541
20 120000 961 610 594
20 130000 1064 695 691
20 140000 1180 762 749
20 150000 1302 825 802
20 160000 1435 899 881
20 170000 1511 982 955
20 180000 1642 1025 1011
20 190000 1735 1130 1121
20 200000 1875 1164 1156
20 210000 1976 1279 1253
20 220000 2092 1386 1353
20 230000 2244 1416 1393
20 240000 2348 1513 1494
20 250000 2435 1585 1573
20 260000 2575 1682 1665
20 270000 2718 1738 1713
20 280000 2827 1837 1806
20 290000 3025 1912 1872
20 300000 3100 1999 1980
20 310000 3209 2097 2091
20 320000 3395 2131 2109
20 330000 3487 2198 2188
20 340000 3628 2356 2345
20 350000 3837 2447 2447
20 360000 3904 2546 2532
20 370000 4032 2654 2666
20 380000 4175 2775 2777
20 390000 4362 2797 2795
20 400000 4474 2914 2900
20 410000 4685 2944 2937
20 420000 4743 3029 3024
20 430000 4887 3165 3171
20 440000 5034 3256 3237
20 450000 5174 3274 3283
20 460000 5277 3417 3400
20 470000 5176 3486 3464
20 480000 5313 3593 3580
20 490000 5478 3744 3721
20 500000 5929 3737 3691
20 510000 6020 3786 3771
20 520000 6196 3834 3842
20 530000 6313 3978 3978
20 540000 6444 4115 4116
20 550000 6615 4153 4162
20 560000 6576 4264 4269
20 570000 6722 4429 4428
20 580000 7016 4484 4492
20 590000 7084 4543 4545
20 600000 7185 4623 4633
20 610000 7405 4810 4823
20 620000 7691 4651 4674
20 630000 7761 4821 4827
20 640000 7885 4977 4996
20 650000 7811 5091 5100
20 660000 8120 5282 5291
20 670000 7850 5239 5240
20 680000 8513 5474 5486
20 690000 8714 5627 5622
20 700000 8843 5557 5567
20 710000 9020 5547 5566
20 720000 9003 5717 5706
20 730000 9259 5622 5650
20 740000 9191 5848 5872
20 750000 9507 6004 5998
20 760000 9708 6025 6044
20 770000 9945 6042 6076
20 780000 9701 6159 6182
20 790000 9966 6196 6239
20 800000 11246 7245 7008
20 810000 10184 6472 6346
20 820000 10303 6584 6591
20 830000 10459 6644 6690
20 840000 10342 6715 6818
20 850000 10760 6451 6481
20 860000 10729 6781 6771
20 870000 10846 6748 6749
20 880000 11028 6770 6791
20 890000 11054 6947 6960
20 900000 11471 7142 7186
20 910000 11642 7364 7398
20 920000 11845 7393 7469
20 930000 12039 7616 7656
20 940000 11783 7376 7377
20 950000 11770 7522 7546
20 960000 11918 7731 7743
20 970000 12082 7830 7868
20 980000 12185 7806 7824
20 990000 12332 7883 7900
20 1000000 12424 7880 7908

