k size add contains remove
20 10000 23 17 16
20 20000 59 39 39
20 30000 105 72 70
20 40000 165 112 115
20 50000 237 166 165
20 60000 313 223 223
20 70000 399 283 282
20 80000 485 354 349
20 90000 573 429 420
20 100000 670 496 490
20 110000 770 578 569
20 120000 861 639 634
20 130000 960 726 716
20 140000 1056 798 790
20 150000 1173 890 883
20 160000 1273 968 956
20 170000 1378 1059 1057
20 180000 1473 1122 1118
20 190000 1606 1241 1229
20 200000 1714 1273 1264
20 210000 1811 1370 1346
20 220000 1904 1439 1429
20 230000 2068 1512 1506
20 240000 2136 1620 1617
20 250000 2249 1716 1717
20 260000 2344 1739 1737
20 270000 2450 1852 1843
20 280000 2563 1950 1943
20 290000 2750 2010 1999
20 300000 2796 2096 2096
20 310000 2934 2223 2204
20 320000 3053 2332 2329
20 330000 3193 2456 2449
20 340000 3326 2481 2488
20 350000 3453 2630 2614
20 360000 3577 2675 2685
20 370000 3688 2793 2783
20 380000 3780 2884 2890
20 390000 3972 2888 2893
20 400000 3997 3028 3022
20 410000 4175 3091 3094
20 420000 4217 3158 3157
20 430000 4306 3247 3263
20 440000 4417 3353 3363
20 450000 4569 3482 3486
20 460000 4642 3565 3575
20 470000 4814 3558 3556
20 480000 4978 3603 3602
20 490000 5019 3693 3711
20 500000 5241 3796 3782
20 510000 5298 3898 3909
20 520000 5434 4028 4040
20 530000 5524 4136 4151
20 540000 5743 4180 4197
20 550000 5761 4299 4303
20 560000 5858 4417 4416
20 570000 6133 4386 4389
20 580000 6120 4532 4543
20 590000 6186 4734 4745
20 600000 6315 4863 4865
20 610000 6427 4982 4990
20 620000 6602 4820 4852
20 630000 6690 4934 4947
20 640000 6839 5058 5069
20 650000 7022 5255 5264
20 660000 7281 5164 5181
20 670000 7280 5320 5330
20 680000 7468 5435 5443
20 690000 7513 5547 5561
20 700000 7604 5680 5691
20 710000 7764 5725 5746
20 720000 7872 5874 5879
20 730000 7961 5933 5947
20 740000 8112 6118 6128
20 750000 8191 6178 6193
20 760000 8394 6277 6281
20 770000 8379 6312 6329
20 780000 8708 6390 6400
20 790000 8754 6596 6619
20 800000 10218 8008 7468
20 810000 8964 6891 6776
20 820000 9405 6749 6672
20 830000 9400 6648 6723
20 840000 9545 6791 6764
20 850000 9590 6916 6941
20 860000 9593 7066 7064
20 870000 9640 7150 7185
20 880000 9796 7187 7220
20 890000 9939 7259 7296
20 900000 10249 7528 7559
20 910000 10302 7591 7615
20 920000 10600 7880 7880
20 930000 10828 7829 7877
20 940000 10964 7760 7789
20 950000 11131 7697 7726
20 960000 11164 7837 7858
20 970000 11232 7945 7997
20 980000 11217 8115 8148
20 990000 11537 8250 8273
20 1000000 11635 8222 8259

