k size add contains remove
20 10000 26 15 16
20 20000 59 41 38
20 30000 106 72 70
20 40000 166 115 112
20 50000 238 166 167
20 60000 313 227 223
20 70000 398 283 278
20 80000 483 357 355
20 90000 578 426 430
20 100000 664 497 488
20 110000 773 585 576
20 120000 859 633 632
20 130000 960 730 729
20 140000 1063 802 800
20 150000 1172 907 904
20 160000 1277 976 973
20 170000 1389 1065 1054
20 180000 1478 1126 1130
20 190000 1594 1227 1209
20 200000 1719 1259 1264
20 210000 1834 1358 1345
20 220000 1962 1447 1433
20 230000 2013 1536 1532
20 240000 2149 1622 1625
20 250000 2250 1723 1691
20 260000 2349 1808 1813
20 270000 2465 1861 1857
20 280000 2560 1960 1965
20 290000 2700 2104 2085
20 300000 2862 2174 2142
20 310000 2918 2255 2224
20 320000 3052 2349 2344
20 330000 3191 2460 2473
20 340000 3366 2514 2517
20 350000 3474 2644 2643
20 360000 3616 2668 2675
20 370000 3694 2820 2823
20 380000 3788 2919 2920
20 390000 4053 2975 2985
20 400000 4058 3020 3019
20 410000 4193 3100 3113
20 420000 4271 3195 3193
20 430000 4363 3319 3310
20 440000 4448 3384 3398
20 450000 4582 3591 3572
20 460000 4675 3613 3614
20 470000 4853 3599 3587
20 480000 4943 3682 3681
20 490000 5130 3834 3828
20 500000 5176 3906 3909
20 510000 5400 3917 3915
20 520000 5449 4084 4076
20 530000 5606 4194 4195
20 540000 5689 4294 4299
20 550000 5802 4353 4360
20 560000 5950 4434 4444
20 570000 6004 4445 4449
20 580000 6143 4585 4608
20 590000 6207 4797 4807
20 600000 6324 4940 4926
20 610000 6504 5057 5060
20 620000 6656 4850 4881
20 630000 6696 5021 5027
20 640000 6904 5182 5175
20 650000 7018 5337 5351
20 660000 7214 5304 5314
20 670000 7384 5354 5362
20 680000 7392 5503 5518
20 690000 7562 5652 5625
20 700000 7612 5747 5759
20 710000 7835 5776 5799
20 720000 7965 5900 5902
20 730000 8093 5990 6010
20 740000 8072 6181 6196
20 750000 8350 6181 6208
20 760000 8399 6342 6352
20 770000 8605 6356 6379
20 780000 8638 6559 6574
20 790000 8839 6639 6653
20 800000 9765 7937 7948
20 810000 9007 6962 6962
20 820000 9732 7155 7163
20 830000 9411 6801 6820
20 840000 9570 6787 6814
20 850000 9401 6992 7021
20 860000 9850 6997 7032
20 870000 9815 7102 7132
20 880000 10155 7178 7207
20 890000 10243 7245 7273
20 900000 10238 7440 7483
20 910000 10331 7490 7515
20 920000 10518 7635 7657
20 930000 10579 7677 7710
20 940000 11050 8050 8081
20 950000 11096 7800 7832
20 960000 11199 7930 7967
20 970000 11210 8085 8107
20 980000 11532 8012 8051
20 990000 11366 8420 8452
20 1000000 11740 8467 8497

