k size add contains remove
20 10000 24 16 16
20 20000 59 39 39
20 30000 105 72 70
20 40000 166 113 116
20 50000 234 169 164
20 60000 311 227 223
20 70000 392 292 286
20 80000 477 361 359
20 90000 573 433 435
20 100000 656 497 496
20 110000 762 591 584
20 120000 846 641 634
20 130000 953 727 721
20 140000 1047 807 799
20 150000 1157 904 889
20 160000 1258 989 985
20 170000 1366 1069 1062
20 180000 1466 1144 1132
20 190000 1583 1238 1224
20 200000 1673 1311 1309
20 210000 1789 1383 1360
20 220000 1928 1465 1458
20 230000 2024 1560 1554
20 240000 2184 1642 1637
20 250000 2232 1714 1700
20 260000 2334 1815 1794
20 270000 2494 1869 1847
20 280000 2564 1964 1964
20 290000 2725 2124 2104
20 300000 2913 2233 2237
20 310000 2887 2206 2214
20 320000 3023 2322 2330
20 330000 3174 2498 2503
20 340000 3295 2591 2574
20 350000 3502 2643 2653
20 360000 3555 2729 2737
20 370000 3725 2777 2775
20 380000 3842 2962 2949
20 390000 3931 3069 3081
20 400000 4216 3050 3044
20 410000 4115 3182 3156
20 420000 4279 3185 3170
20 430000 4353 3298 3306
20 440000 4465 3360 3378
20 450000 4511 3529 3527
20 460000 4677 3624 3609
20 470000 4950 3625 3622
20 480000 4993 3680 3686
20 490000 5088 3806 3790
20 500000 5195 3869 3845
20 510000 5249 3980 3979
20 520000 5442 4013 4035
20 530000 5573 4128 4136
20 540000 5715 4276 4262
20 550000 5768 4369 4363
20 560000 5862 4484 4482
20 570000 6160 4468 4470
20 580000 6176 4567 4574
20 590000 6196 4822 4829
20 600000 6325 4937 4953
20 610000 6462 5068 5050
20 620000 6633 5006 4977
20 630000 6733 4988 4988
20 640000 6806 5093 5116
20 650000 6936 5216 5229
20 660000 7025 5356 5375
20 670000 7269 5426 5444
20 680000 7370 5469 5480
20 690000 7478 5602 5617
20 700000 7770 5668 5692
20 710000 7783 5821 5812
20 720000 7940 5882 5909
20 730000 7887 6090 6106
20 740000 8066 6094 6097
20 750000 8251 6283 6292
20 760000 8299 6368 6381
20 770000 8515 6463 6483
20 780000 8609 6504 6502
20 790000 8615 6711 6719
20 800000 9626 7649 8042
20 810000 8893 6862 6985
20 820000 9081 6953 7105
20 830000 9370 6884 7029
20 840000 9559 7068 6944
20 850000 9563 6916 6939
20 860000 9641 7200 7186
20 870000 9665 7189 7227
20 880000 9932 7251 7272
20 890000 9898 7423 7453
20 900000 10242 7318 7369
20 910000 10199 7445 7483
20 920000 10352 7616 7628
20 930000 10407 7781 7806
20 940000 10666 7988 8033
20 950000 10951 7919 7961
20 960000 10989 8007 8047
20 970000 11445 7959 7975
20 980000 11354 8282 8307
20 990000 11792 8162 8179
20 1000000 11600 8358 8380

