k,add,contains,remove
2, 1931, 1019, 1076
5, 1641, 921, 952
8, 1452, 954, 1011
11, 1272, 984, 1067
14, 1311, 1003, 1064
17, 1322, 997, 1056
20, 1187, 1047, 1074
23, 1376, 953, 1093
26, 1167, 985, 1057
29, 1350, 890, 952
32, 1658, 1165, 1480
35, 1191, 996, 998
38, 1087, 989, 1050
41, 1088, 1048, 1072
44, 1173, 1169, 1170
47, 1244, 1002, 1020
50, 1161, 1004, 1124
53, 1186, 1022, 1023
56, 1264, 1068, 956
59, 1246, 1085, 977
62, 1136, 930, 1056
65, 1163, 1005, 1127
68, 1205, 1006, 1015
71, 1157, 1122, 1013
74, 1185, 1012, 1011
77, 1426, 967, 1027
80, 1180, 1252, 1020
83, 1142, 996, 1072
86, 1199, 1014, 1014
89, 1201, 1073, 1009
92, 1230, 1083, 1086
95, 1198, 1013, 1093
98, 1064, 1010, 1135
101, 1169, 1015, 1019
104, 1114, 1073, 1088
107, 1155, 1010, 1042
110, 1231, 1043, 1047
113, 1166, 1006, 1022
116, 1164, 1014, 1105
119, 1110, 1094, 1023
122, 1184, 1124, 1112
125, 1145, 982, 1086
128, 1243, 1012, 1034
131, 1092, 1053, 1162
134, 1042, 1058, 1085
137, 1096, 1015, 1013
140, 1132, 1062, 1025
143, 1049, 1048, 960
146, 1052, 991, 1065
149, 1113, 1086, 1018
152, 1161, 1036, 1179
155, 1128, 944, 1140
158, 1059, 1125, 1023
161, 1108, 996, 1008
164, 1097, 1009, 1001
167, 1044, 995, 1008
170, 1212, 945, 1016
173, 1141, 1163, 1098
176, 1071, 1076, 1091
179, 1105, 1075, 966
182, 1183, 1063, 1027
185, 1151, 886, 1052
188, 1229, 950, 1014
191, 1151, 999, 966
194, 1136, 1072, 1093
197, 1292, 970, 1020
200, 1120, 1138, 1010
203, 1057, 1005, 1057
206, 1116, 986, 1010
209, 1176, 990, 1012
212, 1225, 950, 1018
215, 1114, 1049, 1011
218, 1213, 961, 969
221, 1068, 1111, 1035
224, 1210, 935, 949
227, 1205, 894, 1006
230, 1068, 999, 1130
233, 1137, 989, 1004
236, 1130, 1081, 1024
239, 1049, 1058, 991
242, 1105, 1010, 1006
245, 1132, 1000, 1069
248, 1180, 995, 1094
251, 1381, 1083, 1038
254, 1212, 1023, 1077
257, 1164, 978, 997
260, 1210, 985, 1004
263, 1268, 946, 1012
266, 1341, 1055, 908
269, 1157, 992, 1072
272, 1265, 995, 1021
275, 1101, 1049, 1062
278, 1188, 994, 1143
281, 1182, 1048, 1065
284, 1261, 1030, 1029
287, 1161, 987, 1063
290, 1415, 1045, 1013
293, 1386, 891, 1103
296, 1331, 941, 1001
299, 1220, 1071, 1020
302, 1389, 920, 1085
305, 1287, 1006, 1030
308, 1288, 1003, 1009
311, 1185, 1049, 1082
314, 1370, 1008, 1032
317, 1284, 1158, 971
320, 1283, 1018, 1007
323, 1354, 948, 1020
326, 1312, 1010, 928
329, 1237, 1009, 1070
332, 1235, 987, 1012
335, 1349, 1010, 969
338, 1391, 949, 902
341, 1182, 989, 1122
344, 1236, 995, 1103
347, 1304, 1005, 1026
350, 1227, 1015, 1155
353, 1383, 899, 1024
356, 1203, 1038, 1206
359, 1285, 959, 1072
362, 1244, 1060, 1042
365, 1291, 940, 995
368, 1289, 941, 1011
371, 1109, 993, 1200
374, 1278, 949, 1089
377, 1299, 1002, 1093
380, 1314, 1073, 1025
383, 1228, 1008, 1172
386, 1358, 1010, 1034
389, 1185, 1205, 1043
392, 1324, 1147, 1053
395, 1341, 1004, 962
398, 1275, 992, 1020
401, 1328, 942, 1027
404, 1417, 1045, 1145
407, 1295, 1054, 1075
410, 1297, 1074, 1024
413, 1219, 1074, 1098
416, 1271, 1010, 953
419, 1332, 964, 1024
422, 1264, 958, 1064
425, 1359, 1218, 1158
428, 1092, 1190, 1107
431, 1164, 1014, 1074
434, 1287, 1071, 1032
437, 1275, 1004, 1018
440, 1256, 1012, 1019
443, 1217, 1006, 1089
446, 1280, 1011, 1017
449, 1191, 1063, 1035
452, 1257, 1006, 1035
455, 1344, 964, 1015
458, 1272, 1075, 1037
461, 1283, 1069, 1060
464, 1259, 1024, 1026
467, 1274, 1007, 1026
470, 1217, 1003, 1064
473, 1268, 1102, 1024
476, 1263, 1014, 1101
479, 1149, 1150, 1092
482, 1132, 1060, 1039
485, 1345, 909, 1066
488, 1244, 1020, 1030
491, 1193, 1009, 1019
494, 1150, 1011, 1116
497, 1120, 1009, 1067
500, 1220, 1174, 1123

