k add contains remove
2 2053 941 1004
5 1600 945 980
8 1354 1138 1006
11 1378 982 954
14 1380 831 997
17 1312 989 1014
20 1297 1006 991
23 1333 1012 1078
26 1229 991 1000
29 1356 888 899
32 1098 1048 1061
35 1121 980 1049
38 1194 1045 988
41 1223 989 1014
44 1416 944 1033
47 1313 1003 1095
50 1337 1019 952
53 1264 929 1140
56 1202 934 1067
59 1349 845 1003
62 1278 997 1040
65 1313 895 1076
68 1238 987 967
71 1212 995 1030
74 1285 955 1006
77 1209 1017 1000
80 1332 1034 1134
83 1311 1110 1095
86 1147 989 1057
89 1225 940 1060
92 1220 1106 966
95 1258 1066 1076
98 1198 1066 1159
101 1368 964 1037
104 1153 986 1073
107 1299 839 995
110 1168 1070 1011
113 1295 1087 1033
116 1333 1022 945
119 1151 1004 1059
122 1212 949 1050
125 1252 1064 993
128 1174 943 1005
131 1212 1052 1053
134 1151 991 1074
137 1138 935 1058
140 1159 995 1055
143 1227 1056 1009
146 1244 936 999
149 1131 929 1064
152 1235 932 1008
155 1219 941 1079
158 1334 940 1000
161 1277 1079 1071
164 1258 1003 1027
167 1300 1019 1020
170 1292 1147 980
173 1405 861 1024
176 1174 1071 1004
179 1192 991 946
182 1197 983 1007
185 1256 1007 953
188 1254 941 1010
191 1288 1006 1039
194 1257 951 1067
197 1157 1071 1007
200 1281 1008 1024
203 1188 934 1062
206 1291 893 1012
209 1296 1122 1077
212 1194 991 1010
215 1247 1034 1021
218 1195 886 1068
221 1135 1048 1000
224 1132 994 1073
227 1138 1066 998
230 1128 1005 1064
233 1239 995 1057
236 1147 1000 993
239 1231 890 992
242 1138 973 1011
245 1123 998 1069
248 1219 906 1061
251 1241 942 1020
254 1181 997 965
257 1183 999 1027
260 1336 911 1029
263 1350 1102 1048
266 1312 942 972
269 1233 893 1011
272 1136 985 1008
275 1087 1060 996
278 1195 949 1009
281 1173 999 966
284 1188 994 1012
287 1263 999 1030
290 1217 1097 1109
293 1135 981 1009
296 1207 1002 1017
299 1144 992 1012
302 1386 903 1013
305 1323 992 1086
308 1285 997 1098
311 1268 1017 1017
314 1154 1008 1063
317 1302 1015 960
320 1192 983 997
323 1193 985 997
326 1141 1004 1064
329 1206 995 1013
332 1194 1032 1078
335 1339 794 1056
338 1193 989 1002
341 1341 1028 957
344 1204 994 1016
347 1193 995 1006
350 1213 993 1023
353 1140 997 1073
356 1240 951 958
359 1176 992 1010
362 1197 1010 1004
365 1084 1039 996
368 1206 1013 1102
371 1207 1067 970
374 1203 994 1022
377 1196 989 1012
380 1080 993 1061
383 1181 940 1021
386 1108 1053 1067
389 1205 1051 1036
392 1154 1001 1086
395 1296 997 1100
398 1215 1022 1075
401 1263 914 1209
404 1206 1003 1039
407 1125 1008 1075
410 1257 1004 1019
413 1247 891 1017
416 1184 938 1026
419 1177 945 1057
422 1091 1065 1058
425 1186 1026 1072
428 1279 946 923
431 1238 893 1014
434 1126 999 996
437 1187 935 1071
440 1194 988 1017
443 1202 1004 1077
446 1136 1059 1022
449 1349 940 902
452 1235 935 1011
455 1124 1087 1087
458 1127 1056 1019
461 1315 982 1035
464 1074 1036 994
467 1165 1058 1011
470 1162 872 1048
473 1291 903 1015
476 1116 990 1009
479 1118 934 1063
482 1075 1062 998
485 1210 1100 1120
488 1134 1053 1024
491 1236 1116 980
494 1185 998 1022
497 1134 1050 1012
500 1070 1042 1003

