k size add contains remove
2 100000 896 458 443
5 100000 712 442 436
8 100000 649 453 438
11 100000 630 458 446
14 100000 600 457 445
17 100000 603 454 451
20 100000 600 443 437
23 100000 599 457 453
26 100000 589 453 445
29 100000 579 450 446
32 100000 574 440 443
35 100000 579 443 432
38 100000 580 452 446
41 100000 574 449 441
44 100000 572 448 445
47 100000 577 460 453
50 100000 568 450 444
53 100000 567 447 437
56 100000 557 445 444
59 100000 556 444 441
62 100000 550 450 441
65 100000 557 447 443
68 100000 558 444 441
71 100000 557 446 439
74 100000 563 444 441
77 100000 563 449 439
80 100000 565 455 450
83 100000 566 447 443
86 100000 572 455 451
89 100000 571 455 451
92 100000 565 457 455
95 100000 562 453 441
98 100000 559 460 454
101 100000 561 450 444
104 100000 556 444 442
107 100000 561 447 445
110 100000 553 446 442
113 100000 553 446 441
116 100000 554 446 443
119 100000 557 452 449
122 100000 556 450 443
125 100000 551 454 448
128 100000 551 447 441
131 100000 555 451 448
134 100000 551 450 443
137 100000 553 447 443
140 100000 553 449 444
143 100000 553 453 448
146 100000 556 453 448
149 100000 548 445 442
152 100000 555 455 449
155 100000 551 450 441
158 100000 556 454 443
161 100000 551 441 435
164 100000 557 449 448
167 100000 557 452 447
170 100000 560 448 446
173 100000 560 450 448
176 100000 561 446 445
179 100000 564 443 438
182 100000 557 449 442
185 100000 555 444 436
188 100000 556 453 450
191 100000 556 454 452
194 100000 560 454 448
197 100000 555 461 455
200 100000 552 450 452
203 100000 555 451 449
206 100000 549 451 444
209 100000 587 445 438
212 100000 555 449 448
215 100000 555 456 447
218 100000 551 450 439
221 100000 547 449 447
224 100000 550 455 448
227 100000 544 447 447
230 100000 546 446 441
233 100000 549 455 454
236 100000 546 445 441
239 100000 549 441 439
242 100000 543 448 441
245 100000 545 448 443
248 100000 548 452 445
251 100000 543 453 448
254 100000 543 449 445
257 100000 546 442 435
260 100000 544 449 443
263 100000 549 456 451
266 100000 544 440 438
269 100000 549 448 444
272 100000 544 444 441
275 100000 550 453 445
278 100000 550 446 441
281 100000 551 446 445
284 100000 547 455 445
287 100000 545 451 447
290 100000 551 451 445
293 100000 550 452 445
296 100000 550 458 457
299 100000 552 449 445
302 100000 552 453 450
305 100000 551 448 445
308 100000 551 452 453
311 100000 553 453 455
314 100000 551 455 450
317 100000 552 450 440
320 100000 552 455 454
323 100000 556 458 451
326 100000 553 454 439
329 100000 551 448 445
332 100000 560 453 446
335 100000 550 450 443
338 100000 554 459 453
341 100000 553 451 454
344 100000 553 456 448
347 100000 552 453 445
350 100000 559 457 454
353 100000 556 453 458
356 100000 554 452 443
359 100000 554 451 450
362 100000 554 457 450
365 100000 559 458 454
368 100000 561 452 440
371 100000 560 448 446
374 100000 561 458 444
377 100000 564 462 452
380 100000 551 446 443
383 100000 556 455 454
386 100000 555 454 456
389 100000 550 454 448
392 100000 553 455 454
395 100000 550 453 454
398 100000 560 459 450
401 100000 555 454 448
404 100000 556 454 445
407 100000 547 445 438
410 100000 545 454 444
413 100000 550 448 445
416 100000 547 444 439
419 100000 547 457 444
422 100000 542 449 445
425 100000 548 456 453
428 100000 546 448 442
431 100000 543 442 436
434 100000 539 450 439
437 100000 542 454 448
440 100000 539 459 454
443 100000 541 458 450
446 100000 540 447 448
449 100000 540 458 452
452 100000 533 447 440
455 100000 538 449 445
458 100000 539 447 444
461 100000 536 450 445
464 100000 534 446 438
467 100000 538 456 447
470 100000 536 448 442
473 100000 532 452 445
476 100000 530 454 446
479 100000 533 444 447
482 100000 537 450 445
485 100000 535 455 455
488 100000 531 449 446
491 100000 537 460 456
494 100000 533 455 451
497 100000 530 445 440
500 100000 531 448 447

