k size add contains remove
2 100000 936 458 444
5 100000 707 456 455
8 100000 693 451 447
11 100000 624 461 459
14 100000 599 454 445
17 100000 609 461 459
20 100000 603 455 455
23 100000 597 451 446
26 100000 588 448 442
29 100000 570 445 438
32 100000 577 445 444
35 100000 573 444 438
38 100000 578 453 447
41 100000 575 452 447
44 100000 573 445 441
47 100000 569 456 453
50 100000 571 452 446
53 100000 567 451 440
56 100000 557 447 442
59 100000 556 458 453
62 100000 547 447 447
65 100000 562 453 454
68 100000 565 454 446
71 100000 559 444 442
74 100000 566 454 445
77 100000 565 447 448
80 100000 566 456 450
83 100000 571 455 447
86 100000 564 448 449
89 100000 564 454 449
92 100000 566 456 452
95 100000 558 450 447
98 100000 558 454 452
101 100000 555 462 453
104 100000 552 447 447
107 100000 555 446 439
110 100000 552 454 447
113 100000 550 454 452
116 100000 563 443 448
119 100000 554 440 433
122 100000 552 450 446
125 100000 554 447 441
128 100000 559 455 450
131 100000 550 447 445
134 100000 548 446 445
137 100000 552 450 446
140 100000 552 446 438
143 100000 552 451 449
146 100000 554 450 446
149 100000 551 449 446
152 100000 557 443 446
155 100000 554 449 450
158 100000 555 447 444
161 100000 552 440 440
164 100000 558 456 452
167 100000 558 453 452
170 100000 563 450 447
173 100000 559 441 439
176 100000 559 451 447
179 100000 560 449 440
182 100000 557 451 448
185 100000 554 452 450
188 100000 554 445 444
191 100000 555 452 443
194 100000 560 449 443
197 100000 555 444 443
200 100000 553 455 447
203 100000 554 451 449
206 100000 552 445 441
209 100000 553 448 445
212 100000 552 447 447
215 100000 552 449 446
218 100000 551 446 443
221 100000 547 446 442
224 100000 547 451 447
227 100000 551 458 453
230 100000 546 447 448
233 100000 544 447 443
236 100000 543 445 441
239 100000 549 452 451
242 100000 544 447 441
245 100000 541 447 446
248 100000 547 454 449
251 100000 546 451 449
254 100000 545 451 442
257 100000 548 445 441
260 100000 545 455 446
263 100000 544 439 435
266 100000 546 450 442
269 100000 545 449 444
272 100000 546 449 449
275 100000 553 452 443
278 100000 548 450 447
281 100000 554 458 450
284 100000 548 456 447
287 100000 549 455 449
290 100000 551 451 448
293 100000 546 442 442
296 100000 553 462 460
299 100000 549 453 449
302 100000 551 449 445
305 100000 547 452 452
308 100000 549 449 447
311 100000 557 451 450
314 100000 553 447 439
317 100000 550 453 451
320 100000 549 457 454
323 100000 554 454 456
326 100000 551 457 451
329 100000 552 457 453
332 100000 555 462 460
335 100000 554 453 449
338 100000 558 460 454
341 100000 556 452 447
344 100000 551 452 449
347 100000 554 453 449
350 100000 558 456 453
353 100000 553 449 446
356 100000 556 454 450
359 100000 554 452 447
362 100000 559 453 445
365 100000 557 452 450
368 100000 560 459 461
371 100000 564 448 442
374 100000 562 454 450
377 100000 544 443 443
380 100000 559 451 448
383 100000 558 456 451
386 100000 555 456 451
389 100000 552 459 447
392 100000 554 449 448
395 100000 555 447 450
398 100000 555 454 448
401 100000 553 458 448
404 100000 550 455 449
407 100000 548 448 447
410 100000 546 449 450
413 100000 549 445 443
416 100000 547 451 447
419 100000 554 459 457
422 100000 543 441 439
425 100000 546 451 445
428 100000 548 449 447
431 100000 546 448 444
434 100000 541 446 441
437 100000 543 453 452
440 100000 539 462 462
443 100000 544 463 452
446 100000 540 451 452
449 100000 543 454 450
452 100000 537 456 448
455 100000 538 447 446
458 100000 540 457 459
461 100000 533 452 445
464 100000 533 449 445
467 100000 531 445 444
470 100000 540 448 442
473 100000 530 457 454
476 100000 531 449 443
479 100000 535 445 440
482 100000 532 445 447
485 100000 536 457 453
488 100000 531 451 446
491 100000 532 450 452
494 100000 536 449 448
497 100000 534 455 453
500 100000 533 449 444

