k size add contains remove
2 100000 937 457 444
5 100000 747 458 450
8 100000 646 458 451
11 100000 625 456 449
14 100000 607 462 456
17 100000 595 453 446
20 100000 591 456 450
23 100000 587 450 450
26 100000 584 455 452
29 100000 559 455 454
32 100000 561 451 447
35 100000 564 459 462
38 100000 566 457 460
41 100000 565 458 455
44 100000 557 456 452
47 100000 559 461 457
50 100000 549 457 461
53 100000 548 461 457
56 100000 557 464 462
59 100000 557 460 467
62 100000 575 465 459
65 100000 554 461 465
68 100000 553 459 464
71 100000 551 463 458
74 100000 549 460 465
77 100000 552 462 459
80 100000 558 471 473
83 100000 548 455 452
86 100000 555 464 452
89 100000 549 470 467
92 100000 551 470 466
95 100000 530 460 460
98 100000 526 461 462
101 100000 525 464 463
104 100000 525 472 467
107 100000 517 461 458
110 100000 517 462 462
113 100000 520 470 468
116 100000 516 469 468
119 100000 509 465 460
122 100000 509 463 461
125 100000 499 462 465
128 100000 510 462 467
131 100000 512 455 455
134 100000 506 454 456
137 100000 515 463 459
140 100000 517 457 457
143 100000 526 470 467
146 100000 524 458 457
149 100000 521 462 468
152 100000 523 464 464
155 100000 516 459 458
158 100000 518 454 460
161 100000 523 462 463
164 100000 519 456 463
167 100000 525 459 462
170 100000 527 456 462
173 100000 528 456 453
176 100000 531 466 467
179 100000 541 474 475
182 100000 534 457 456
185 100000 537 463 457
188 100000 537 456 454
191 100000 537 457 453
194 100000 520 455 450
197 100000 531 462 460
200 100000 528 454 459
203 100000 525 452 451
206 100000 523 447 449
209 100000 538 467 468
212 100000 531 458 461
215 100000 526 454 456
218 100000 523 448 448
221 100000 531 450 444
224 100000 530 453 450
227 100000 537 448 448
230 100000 539 456 456
233 100000 531 446 447
236 100000 538 459 458
239 100000 540 457 455
242 100000 542 452 450
245 100000 542 450 456
248 100000 539 455 453
251 100000 552 452 451
254 100000 602 453 444
257 100000 561 449 449
260 100000 560 449 448
263 100000 560 442 437
266 100000 562 452 453
269 100000 568 451 453
272 100000 573 449 444
275 100000 569 452 450
278 100000 570 463 456
281 100000 573 453 450
284 100000 574 452 452
287 100000 580 459 460
290 100000 588 464 457
293 100000 588 458 450
296 100000 586 458 451
299 100000 585 459 449
302 100000 586 462 458
305 100000 588 462 454
308 100000 572 448 447
311 100000 588 467 462
314 100000 587 464 458
317 100000 581 465 458
320 100000 591 479 471
323 100000 582 466 456
326 100000 587 474 472
329 100000 580 460 453
332 100000 587 463 457
335 100000 584 464 458
338 100000 591 472 467
341 100000 589 464 460
344 100000 582 467 464
347 100000 614 477 476
350 100000 589 455 446
353 100000 592 467 460
356 100000 586 468 462
359 100000 588 457 453
362 100000 590 473 469
365 100000 595 472 467
368 100000 594 475 469
371 100000 591 474 472
374 100000 597 470 461
377 100000 596 470 462
380 100000 587 476 474
383 100000 594 483 479
386 100000 591 472 465
389 100000 574 463 460
392 100000 588 477 465
395 100000 572 466 461
398 100000 596 471 462
401 100000 586 470 464
404 100000 580 458 445
407 100000 585 467 464
410 100000 573 462 452
413 100000 587 476 466
416 100000 585 464 462
419 100000 585 478 472
422 100000 572 474 468
425 100000 576 463 457
428 100000 585 468 465
431 100000 571 466 463
434 100000 564 468 459
437 100000 574 474 463
440 100000 575 470 465
443 100000 583 480 467
446 100000 568 463 458
449 100000 569 460 447
452 100000 574 486 478
455 100000 575 474 475
458 100000 558 468 464
461 100000 561 463 458
464 100000 578 482 477
467 100000 571 479 469
470 100000 561 469 463
473 100000 565 471 465
476 100000 562 480 472
479 100000 561 476 471
482 100000 566 485 481
485 100000 546 468 460
488 100000 564 481 475
491 100000 561 485 472
494 100000 559 482 478
497 100000 550 480 476
500 100000 544 474 466

